doc_id,start_date,end_date,debates_start,index_start,bilingual
1-1-1.txt,1867-11-06,1868-05-22,23,785,0
1-2-1.txt,1869-04-15,1869-06-22,24,957,1
1-3-1.txt,1870-02-15,1870-05-12,27,1561,1
1-4-1.txt,1871-02-15,1871-04-14,37,443,0
1-5-1.txt,1872-04-11,1872-06-14,35,557,0
2-1-1.txt,1873-03-05,1873-08-13,31,665,0
2-2-1.txt,1873-10-23,1873-11-07,37,213,0
3-1-1.txt,1874-03-26,1874-05-26,35,441,0
3-2-1.txt,1875-02-04,1875-04-08,49,1144,0
3-3-1.txt,1876-02-10,1876-04-12,42,1227,0
3-4-1.txt,1877-02-08,1877-04-28,69,1968,0
3-5-1.txt,1878-02-07,1878-05-10,34,1428,0
4-1-1.txt,1879-02-13,1879-04-07,9,1088,0
4-1-2.txt,1879-04-08,1879-05-15,4,974,0
4-2-1.txt,1880-02-12,1880-04-05,10,1109,0
4-2-2.txt,1880-04-06,1880-05-07,4,932,0
4-3-1.txt,1880-12-09,1881-02-01,8,821,0
4-3-2.txt,1881-02-02,1881-03-21,3,656,0
4-4-1.txt,1882-02-09,1882-05-17,9,1585,0
5-1-1.txt,1883-02-08,1883-04-19,7,748,0
5-1-2.txt,1883-04-20,1883-05-25,3,662,0
5-2-1.txt,1884-01-17,1884-03-11,7,804,0
5-2-2.txt,1884-03-12,1884-04-19,3,863,0
5-3-1.txt,1885-01-29,1885-03-26,10,786,0
5-3-2.txt,1885-03-27,1885-05-08,3,970,0
5-3-3.txt,1885-05-11,1885-06-15,3,819,0
5-3-4.txt,1885-06-16,1885-07-20,3,921,0
5-4-1.txt,1886-02-25,1886-04-19,10,812,0
5-4-2.txt,1886-04-20,1886-06-02,3,977,0
6-1-1.txt,1887-04-13,1887-05-27,10,625,0
6-1-2.txt,1887-05-30,1887-06-23,3,665,0
6-2-1.txt,1888-02-23,1888-04-13,10,833,0
6-2-2.txt,1888-04-16,1888-05-22,3,874,0
6-3-1.txt,1889-01-31,1889-03-22,12,823,0
6-3-2.txt,1889-03-26,1889-05-02,3,920,0
6-4-1.txt,1890-01-16,1890-03-26,14,1280,0
6-4-2.txt,1890-03-27,1890-05-16,3,1209,0
7-1-1.txt,1891-04-29,1891-07-09,12,1047,0
7-1-2.txt,1891-07-10,1891-08-20,2,1087,0
7-1-3.txt,1891-08-21,1891-09-30,2,1050,0
7-2-1.txt,1892-02-25,1892-05-09,12,1193,0
7-2-2.txt,1892-05-10,1892-07-09,2,1190,0
7-3-1.txt,1893-01-26,1893-04-01,9,1793,0
7-4-1.txt,1894-03-15,1894-05-23,8,1645,0
7-4-2.txt,1894-05-28,1894-07-23,2,1636,0
7-5-1.txt,1895-04-18,1895-06-10,11,1214,0
7-5-2.txt,1895-06-11,1895-07-22,2,1256,0
7-6-1.txt,1896-01-02,1896-03-13,9,1807,0
7-6-2.txt,1896-03-16,1896-04-23,2,1798,0
